Time,Ask,Bid,AskVolume,BidVolume
15.11.2012 00:00:00.081,1.27301,1.27293,1.73,5.48
15.11.2012 00:00:00.626,1.27302,1.27295,2.48,1.73
15.11.2012 00:00:01.291,1.27299,1.27292,2.48,1.35
15.11.2012 00:00:01.363,1.27296,1.27290,1.50,3.98
15.11.2012 00:00:03.690,1.27295,1.27289,1.50,2.25
15.11.2012 00:00:04.001,1.27294,1.27287,1.13,3.00
15.11.2012 00:00:04.061,1.27294,1.27287,1.13,2.48
15.11.2012 00:00:04.781,1.27296,1.27288,2.48,1.73
15.11.2012 00:00:05.910,1.27295,1.27287,1.73,3.98
15.11.2012 00:00:06.691,1.27293,1.27280,1.73,1.73
15.11.2012 00:00:06.821,1.27292,1.27285,2.48,1.73
15.11.2012 00:00:07.782,1.27291,1.27283,2.48,3.23
15.11.2012 00:00:07.902,1.27290,1.27283,1.73,5.10
15.11.2012 00:00:08.441,1.27290,1.27283,1.73,2.10
15.11.2012 00:00:08.921,1.27290,1.27283,1.73,1.73
15.11.2012 00:00:10.071,1.27292,1.27283,2.48,5.10
15.11.2012 00:00:10.130,1.27292,1.27283,2.48,5.10
15.11.2012 00:00:15.754,1.27290,1.27283,2.48,1.35
15.11.2012 00:00:15.822,1.27289,1.27282,1.73,1.35
15.11.2012 00:00:17.711,1.27288,1.27281,2.48,2.48
15.11.2012 00:00:18.433,1.27288,1.27281,2.48,2.48
15.11.2012 00:00:20.762,1.27288,1.27281,2.48,2.48
15.11.2012 00:00:25.316,1.27287,1.27279,1.73,1.73
15.11.2012 00:00:25.385,1.27286,1.27279,1.73,1.73
15.11.2012 00:00:38.192,1.27285,1.27279,2.48,1.73
15.11.2012 00:00:38.552,1.27285,1.27279,1.73,1.50
15.11.2012 00:00:38.911,1.27285,1.27278,2.48,3.60
15.11.2012 00:00:39.765,1.27285,1.27279,1.73,1.73
15.11.2012 00:00:40.921,1.27285,1.27279,1.73,1.73
15.11.2012 00:00:41.041,1.27286,1.27279,2.48,1.73
15.11.2012 00:00:53.481,1.27286,1.27279,1.73,1.73
15.11.2012 00:01:01.384,1.27285,1.27279,1.73,1.73
15.11.2012 00:01:02.382,1.27286,1.27279,2.48,1.73
15.11.2012 00:01:02.992,1.27285,1.27278,1.73,2.85
15.11.2012 00:01:08.165,1.27287,1.27281,1.73,1.50
15.11.2012 00:01:08.385,1.27289,1.27282,2.48,1.73
15.11.2012 00:01:08.895,1.27287,1.27281,1.50,1.73
15.11.2012 00:01:10.172,1.27287,1.27281,1.50,1.73
15.11.2012 00:01:18.443,1.27288,1.27281,1.73,1.73
15.11.2012 00:01:18.742,1.27286,1.27279,1.73,1.73
15.11.2012 00:01:20.582,1.27285,1.27278,1.50,3.00
15.11.2012 00:01:21.603,1.27285,1.27278,1.50,2.25
15.11.2012 00:01:22.094,1.27285,1.27278,1.50,2.25
15.11.2012 00:01:23.133,1.27286,1.27278,1.73,2.40
15.11.2012 00:01:23.972,1.27286,1.27278,1.50,2.48
15.11.2012 00:01:26.512,1.27285,1.27278,1.50,2.48
15.11.2012 00:01:28.213,1.27285,1.27278,1.50,2.48
15.11.2012 00:01:29.392,1.27285,1.27278,1.50,2.48
15.11.2012 00:01:29.955,1.27285,1.27278,1.50,2.33
15.11.2012 00:01:30.773,1.27285,1.27278,1.50,2.48
15.11.2012 00:01:31.133,1.27285,1.27278,1.50,2.25
15.11.2012 00:01:31.802,1.27282,1.27277,1.73,1.50
